"filename", "language", "C", "C++", "Markdown", "Makefile", "Log", "Shell Script", "CMake", "JSON", "CMake Cache", "TypeScript", "comment", "blank", "total"
"/home/admin/workspace/ai_speaker/server/inc/database.h", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/home/admin/workspace/ai_speaker/server/inc/player.h", "C", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/home/admin/workspace/ai_speaker/server/inc/server.h", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"/home/admin/workspace/ai_speaker/server/logs/player.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/admin/workspace/ai_speaker/server/logs/server.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/admin/workspace/ai_speaker/server/server_build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/admin/workspace/ai_speaker/server/src/database.cpp", "C++", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 169
"/home/admin/workspace/ai_speaker/server/src/main.cpp", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/home/admin/workspace/ai_speaker/server/src/player.cpp", "C++", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 123
"/home/admin/workspace/ai_speaker/server/src/server.cpp", "C++", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 38, 41, 336
"/home/admin/workspace/ai_speaker/src/device.c", "C", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 110
"/home/admin/workspace/ai_speaker/src/link.c", "C", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27, 163
"/home/admin/workspace/ai_speaker/src/main.c", "C", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 52
"/home/admin/workspace/ai_speaker/src/player.c", "C", 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 72, 439
"/home/admin/workspace/ai_speaker/src/select.c", "C", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 239
"/home/admin/workspace/ai_speaker/src/socket.c", "C", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 49, 252
"/home/admin/workspace/ai_speaker/test/testapp.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/admin/workspace/ai_speaker/test/testserver.c", "C", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 64
"/home/admin/workspace/ai_speaker/test/volume.c", "C", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
"Total", "-", 1887, 1171, 551, 202, 381, 17, 292, 1902, 313, 2, 314, 1060, 8092
