Date : 2025-08-21 16:23:10
Directory : /home/admin/workspace/ai_speaker
Total : 57 files,  6718 codes, 314 comments, 1060 blanks, all 8092 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/admin/workspace/ai_speaker/build/CMakeFiles/main.dir/DependInfo.cmake                            | CMake        |         19 |          0 |          6 |         25 |
| /home/admin/workspace/ai_speaker/build/CMakeFiles/main.dir/cmake_clean.cmake                           | CMake        |         20 |          0 |          2 |         22 |
| /home/admin/workspace/ai_speaker/build/CMakeFiles/main.dir/compiler_depend.ts                          | TypeScript   |          2 |          0 |          1 |          3 |
| /home/admin/workspace/ai_speaker/build/Makefile                                                        | Makefile     |        177 |         63 |         77 |        317 |
| /home/admin/workspace/ai_speaker/build/cmake_install.cmake                                             | CMake        |         46 |          0 |          9 |         55 |
| /home/admin/workspace/ai_speaker/build/compile_commands.json                                           | JSON         |         32 |          0 |          0 |         32 |
| /home/admin/workspace/ai_speaker/include/device.h                                                      | C            |         17 |          0 |          5 |         22 |
| /home/admin/workspace/ai_speaker/include/link.h                                                        | C            |         26 |          0 |          8 |         34 |
| /home/admin/workspace/ai_speaker/include/main.h                                                        | C            |         15 |          0 |          7 |         22 |
| /home/admin/workspace/ai_speaker/include/player.h                                                      | C            |         50 |          1 |         14 |         65 |
| /home/admin/workspace/ai_speaker/include/select.h                                                      | C            |         19 |          0 |          5 |         24 |
| /home/admin/workspace/ai_speaker/include/socket.h                                                      | C            |         34 |          0 |          7 |         41 |
| /home/admin/workspace/ai_speaker/init.sh                                                               | Shell Script |          7 |          5 |          8 |         20 |
| /home/admin/workspace/ai_speaker/server/CMakeLists.txt                                                 | CMake        |          0 |          0 |          1 |          1 |
| /home/admin/workspace/ai_speaker/server/Makefile                                                       | Makefile     |         16 |          3 |          7 |         26 |
| /home/admin/workspace/ai_speaker/server/README.md                                                      | Markdown     |          0 |          0 |          1 |          1 |
| /home/admin/workspace/ai_speaker/server/inc/database.h                                                 | C++          |         19 |          0 |          6 |         25 |
| /home/admin/workspace/ai_speaker/server/inc/player.h                                                   | C            |         33 |          0 |          6 |         39 |
| /home/admin/workspace/ai_speaker/server/inc/server.h                                                   | C++          |         45 |          0 |         10 |         55 |
| /home/admin/workspace/ai_speaker/server/logs/player.log                                                | Log          |          0 |          0 |          1 |          1 |
| /home/admin/workspace/ai_speaker/server/logs/server.log                                                | Log          |          0 |          0 |          1 |          1 |
| /home/admin/workspace/ai_speaker/server/server_build.sh                                                | Shell Script |          0 |          0 |          1 |          1 |
| /home/admin/workspace/ai_speaker/server/src/database.cpp                                               | C++          |        142 |         12 |         15 |        169 |
| /home/admin/workspace/ai_speaker/server/src/main.cpp                                                   | C++          |          7 |          0 |          4 |         11 |
| /home/admin/workspace/ai_speaker/server/src/player.cpp                                                 | C++          |        103 |          6 |         14 |        123 |
| /home/admin/workspace/ai_speaker/server/src/server.cpp                                                 | C++          |        257 |         38 |         41 |        336 |
| /home/admin/workspace/ai_speaker/src/device.c                                                          | C            |         84 |          5 |         21 |        110 |
| /home/admin/workspace/ai_speaker/src/link.c                                                            | C            |        129 |          7 |         27 |        163 |
| /home/admin/workspace/ai_speaker/src/main.c                                                            | C            |         30 |          9 |         13 |         52 |
| /home/admin/workspace/ai_speaker/src/player.c                                                          | C            |        349 |         18 |         72 |        439 |
| /home/admin/workspace/ai_speaker/src/select.c                                                          | C            |        223 |          0 |         16 |        239 |
| /home/admin/workspace/ai_speaker/src/socket.c                                                          | C            |        188 |         15 |         49 |        252 |
| /home/admin/workspace/ai_speaker/test/testapp.cpp                                                      | C++          |          0 |          0 |          1 |          1 |
| /home/admin/workspace/ai_speaker/test/testserver.c                                                     | C            |         53 |          0 |         11 |         64 |
| /home/admin/workspace/ai_speaker/test/volume.c                                                         | C            |         27 |          2 |          6 |         35 |
| Total                                                                                                  |              |      6,718 |        314 |      1,060 |      8,092 |
+--------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
